"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","COLUMN_TYPE","DATA_TYPE","IS_NULLABLE","COLUMN_KEY"
"characters","account_tutorial","tut6","int unsigned","int","NO",""
"characters","account_tutorial","tut7","int unsigned","int","NO",""
"characters","auction_bidders","auctionId","int unsigned","int","NO","PRI"
"characters","auction_bidders","playerGuid","bigint unsigned","bigint","NO","PRI"
"characters","auction_items","auctionId","int unsigned","int","NO","PRI"
"characters","auction_items","itemGuid","bigint unsigned","bigint","NO","PRI"
"characters","auctionhouse","id","int unsigned","int","NO","PRI"
"characters","auctionhouse","auctionHouseId","int unsigned","int","NO",""
"characters","auctionhouse","owner","bigint unsigned","bigint","NO",""
"characters","auctionhouse","bidder","bigint unsigned","bigint","NO",""
"characters","auctionhouse","minBid","bigint unsigned","bigint","NO",""
"characters","auctionhouse","buyoutOrUnitPrice","bigint unsigned","bigint","NO",""
"characters","auctionhouse","deposit","bigint unsigned","bigint","NO",""
"characters","auctionhouse","bidAmount","bigint unsigned","bigint","NO",""
"characters","auctionhouse","startTime","bigint","bigint","NO",""
"characters","auctionhouse","endTime","bigint","bigint","NO",""
"characters","auctionhouse","serverFlags","tinyint unsigned","tinyint","NO",""
"characters","bugreport","id","int unsigned","int","NO","PRI"
"characters","bugreport","type","longtext","longtext","NO",""
"characters","bugreport","content","longtext","longtext","NO",""
"characters","calendar_events","EventID","bigint unsigned","bigint","NO","PRI"
"characters","calendar_events","Owner","bigint unsigned","bigint","NO",""
"characters","calendar_events","Title","varchar(255)","varchar","NO",""
"characters","calendar_events","Description","varchar(255)","varchar","NO",""
"characters","calendar_events","EventType","tinyint unsigned","tinyint","NO",""
"characters","calendar_events","TextureID","int","int","NO",""
"characters","calendar_events","Date","bigint","bigint","NO",""
"characters","calendar_events","Flags","int unsigned","int","NO",""
"characters","calendar_events","LockDate","bigint","bigint","NO",""
"characters","calendar_invites","InviteID","bigint unsigned","bigint","NO","PRI"
"characters","calendar_invites","EventID","bigint unsigned","bigint","NO",""
"characters","calendar_invites","Invitee","bigint unsigned","bigint","NO",""
"characters","calendar_invites","Sender","bigint unsigned","bigint","NO",""
"characters","calendar_invites","Status","tinyint unsigned","tinyint","NO",""
"characters","calendar_invites","ResponseTime","bigint","bigint","NO",""
"characters","calendar_invites","ModerationRank","tinyint unsigned","tinyint","NO",""
"characters","calendar_invites","Note","varchar(255)","varchar","NO",""
"characters","channels","name","varchar(128)","varchar","NO","PRI"
"characters","channels","team","int unsigned","int","NO","PRI"
"characters","channels","announce","tinyint unsigned","tinyint","NO",""
"characters","channels","ownership","tinyint unsigned","tinyint","NO",""
"characters","channels","password","varchar(128)","varchar","YES",""
"characters","channels","bannedList","text","text","YES",""
"characters","channels","lastUsed","bigint unsigned","bigint","NO",""
"characters","character_account_data","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_account_data","type","tinyint unsigned","tinyint","NO","PRI"
"characters","character_account_data","time","bigint","bigint","NO",""
"characters","character_account_data","data","blob","blob","NO",""
"characters","character_achievement","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_achievement","achievement","int unsigned","int","NO","PRI"
"characters","character_achievement","date","bigint","bigint","NO",""
"characters","character_achievement_progress","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_achievement_progress","criteria","int unsigned","int","NO","PRI"
"characters","character_achievement_progress","counter","bigint unsigned","bigint","NO",""
"characters","character_achievement_progress","date","bigint","bigint","NO",""
"characters","character_action","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_action","spec","tinyint unsigned","tinyint","NO","PRI"
"characters","character_action","traitConfigId","int","int","NO","PRI"
"characters","character_action","button","tinyint unsigned","tinyint","NO","PRI"
"characters","character_action","action","int unsigned","int","NO",""
"characters","character_action","type","tinyint unsigned","tinyint","NO",""
"characters","character_arena_stats","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_arena_stats","slot","tinyint unsigned","tinyint","NO","PRI"
"characters","character_arena_stats","weekGames","smallint unsigned","smallint","NO",""
"characters","character_arena_stats","weekWins","smallint unsigned","smallint","NO",""
"characters","character_arena_stats","seasonGames","smallint unsigned","smallint","NO",""
"characters","character_arena_stats","seasonWins","smallint unsigned","smallint","NO",""
"characters","character_arena_stats","personalRating","smallint unsigned","smallint","NO",""
"characters","character_arena_stats","matchMakerRating","smallint unsigned","smallint","NO",""
"characters","character_arena_stats","rank","int unsigned","int","NO",""
"characters","character_aura","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_aura","casterGuid","binary(16)","binary","NO","PRI"
"characters","character_aura","itemGuid","binary(16)","binary","NO","PRI"
"characters","character_aura","spell","int unsigned","int","NO","PRI"
"characters","character_aura","effectMask","int unsigned","int","NO","PRI"
"characters","character_aura","recalculateMask","int unsigned","int","NO",""
"characters","character_aura","difficulty","tinyint unsigned","tinyint","NO",""
"characters","character_aura","stackCount","tinyint unsigned","tinyint","NO",""
"characters","character_aura","maxDuration","int","int","NO",""
"characters","character_aura","remainTime","int","int","NO",""
"characters","character_aura","remainCharges","tinyint unsigned","tinyint","NO",""
"characters","character_aura","castItemId","int unsigned","int","NO",""
"characters","character_aura","castItemLevel","int","int","NO",""
"characters","character_aura","critChance","float","float","NO",""
"characters","character_aura","applyResilience","tinyint","tinyint","NO",""
"characters","character_aura_effect","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_aura_effect","casterGuid","binary(16)","binary","NO","PRI"
"characters","character_aura_effect","itemGuid","binary(16)","binary","NO","PRI"
"characters","character_aura_effect","spell","int unsigned","int","NO","PRI"
"characters","character_aura_effect","effectMask","int unsigned","int","NO","PRI"
"characters","character_aura_effect","effectIndex","tinyint unsigned","tinyint","NO","PRI"
"characters","character_aura_effect","amount","int","int","NO",""
"characters","character_aura_effect","baseAmount","int","int","NO",""
"characters","character_aura_stored_location","Guid","bigint unsigned","bigint","NO","PRI"
"characters","character_aura_stored_location","Spell","int unsigned","int","NO","PRI"
"characters","character_aura_stored_location","MapId","int unsigned","int","NO",""
"characters","character_aura_stored_location","PositionX","float","float","NO",""
"characters","character_aura_stored_location","PositionY","float","float","NO",""
"characters","character_aura_stored_location","PositionZ","float","float","NO",""
"characters","character_aura_stored_location","Orientation","float","float","NO",""
"characters","character_banned","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_banned","bandate","bigint","bigint","NO","PRI"
"characters","character_banned","unbandate","bigint","bigint","NO",""
"characters","character_banned","bannedby","varchar(50)","varchar","NO",""
"characters","character_banned","banreason","varchar(255)","varchar","NO",""
"characters","character_banned","active","tinyint unsigned","tinyint","NO",""
"characters","character_battleground_data","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_battleground_data","instanceId","int unsigned","int","NO",""
"characters","character_battleground_data","team","smallint unsigned","smallint","NO",""
"characters","character_battleground_data","joinX","float","float","NO",""
"characters","character_battleground_data","joinY","float","float","NO",""
"characters","character_battleground_data","joinZ","float","float","NO",""
"characters","character_battleground_data","joinO","float","float","NO",""
"characters","character_battleground_data","joinMapId","smallint unsigned","smallint","NO",""
"characters","character_battleground_data","taxiStart","int unsigned","int","NO",""
"characters","character_battleground_data","taxiEnd","int unsigned","int","NO",""
"characters","character_battleground_data","mountSpell","int unsigned","int","NO",""
"characters","character_battleground_data","queueId","bigint unsigned","bigint","YES",""
"characters","character_battleground_random","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_cuf_profiles","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_cuf_profiles","id","tinyint unsigned","tinyint","NO","PRI"
"characters","character_cuf_profiles","name","varchar(12)","varchar","NO",""
"characters","character_cuf_profiles","frameHeight","smallint unsigned","smallint","NO",""
"characters","character_cuf_profiles","frameWidth","smallint unsigned","smallint","NO",""
"characters","character_cuf_profiles","sortBy","tinyint unsigned","tinyint","NO",""
"characters","character_cuf_profiles","healthText","tinyint unsigned","tinyint","NO",""
"characters","character_cuf_profiles","boolOptions","int unsigned","int","NO",""
"characters","character_cuf_profiles","topPoint","tinyint unsigned","tinyint","NO",""
"characters","character_cuf_profiles","bottomPoint","tinyint unsigned","tinyint","NO",""
"characters","character_cuf_profiles","leftPoint","tinyint unsigned","tinyint","NO",""
"characters","character_cuf_profiles","topOffset","smallint unsigned","smallint","NO",""
"characters","character_cuf_profiles","bottomOffset","smallint unsigned","smallint","NO",""
"characters","character_cuf_profiles","leftOffset","smallint unsigned","smallint","NO",""
"characters","character_currency","CharacterGuid","bigint unsigned","bigint","NO","PRI"
"characters","character_currency","Currency","smallint unsigned","smallint","NO","PRI"
"characters","character_currency","Quantity","int unsigned","int","NO",""
"characters","character_currency","WeeklyQuantity","int unsigned","int","NO",""
"characters","character_currency","TrackedQuantity","int unsigned","int","NO",""
"characters","character_currency","IncreasedCapQuantity","int unsigned","int","NO",""
"characters","character_currency","EarnedQuantity","int unsigned","int","NO",""
"characters","character_currency","Flags","tinyint unsigned","tinyint","NO",""
"characters","character_customizations","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_customizations","chrCustomizationOptionID","int unsigned","int","NO","PRI"
"characters","character_customizations","chrCustomizationChoiceID","int unsigned","int","NO",""
"characters","character_declinedname","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_declinedname","genitive","varchar(15)","varchar","NO",""
"characters","character_declinedname","dative","varchar(15)","varchar","NO",""
"characters","character_declinedname","accusative","varchar(15)","varchar","NO",""
"characters","character_declinedname","instrumental","varchar(15)","varchar","NO",""
"characters","character_declinedname","prepositional","varchar(15)","varchar","NO",""
"characters","character_equipmentsets","guid","bigint unsigned","bigint","NO","MUL"
"characters","character_equipmentsets","setguid","bigint unsigned","bigint","NO","PRI"
"characters","character_equipmentsets","setindex","tinyint unsigned","tinyint","NO","MUL"
"characters","character_equipmentsets","name","varchar(31)","varchar","NO",""
"characters","character_equipmentsets","iconname","varchar(100)","varchar","NO",""
"characters","character_equipmentsets","ignore_mask","int unsigned","int","NO",""
"characters","character_equipmentsets","AssignedSpecIndex","int","int","NO",""
"characters","character_equipmentsets","item0","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item1","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item2","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item3","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item4","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item5","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item6","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item7","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item8","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item9","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item10","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item11","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item12","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item13","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item14","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item15","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item16","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item17","bigint unsigned","bigint","NO",""
"characters","character_equipmentsets","item18","bigint unsigned","bigint","NO",""
"characters","character_favorite_auctions","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_favorite_auctions","order","int unsigned","int","NO","PRI"
"characters","character_favorite_auctions","itemId","int unsigned","int","NO",""
"characters","character_favorite_auctions","itemLevel","int unsigned","int","NO",""
"characters","character_favorite_auctions","battlePetSpeciesId","int unsigned","int","NO",""
"characters","character_favorite_auctions","suffixItemNameDescriptionId","int unsigned","int","NO",""
"characters","character_fishingsteps","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_fishingsteps","fishingSteps","tinyint unsigned","tinyint","NO",""
"characters","character_gifts","guid","bigint unsigned","bigint","NO","MUL"
"characters","character_gifts","item_guid","bigint unsigned","bigint","NO","PRI"
"characters","character_gifts","entry","int unsigned","int","NO",""
"characters","character_gifts","flags","int unsigned","int","NO",""
"characters","character_glyphs","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_glyphs","talentGroup","tinyint unsigned","tinyint","NO","PRI"
"characters","character_glyphs","glyphSlot","tinyint unsigned","tinyint","NO","PRI"
"characters","character_glyphs","glyphId","smallint unsigned","smallint","NO","PRI"
"characters","character_homebind","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_homebind","mapId","smallint unsigned","smallint","NO",""
"characters","character_homebind","zoneId","smallint unsigned","smallint","NO",""
"characters","character_homebind","posX","float","float","NO",""
"characters","character_homebind","posY","float","float","NO",""
"characters","character_homebind","posZ","float","float","NO",""
"characters","character_homebind","orientation","float","float","NO",""
"characters","character_instance_lock","guid","bigint unsigned","bigint","NO","PRI"
"characters","character_instance_lock","mapId","int unsigned","int","NO","PRI"
"characters","character_instance_lock","lockId","int unsigned","int","NO","PRI"
"characters","character_instance_lock","instanceId","int unsigned","int","YES",""
"characters","character_instance_lock","difficulty","tinyint unsigned","tinyint","YES",""
"characters","character_instance_lock","data","text","text","YES",""
"characters","character_instance_lock","completedEncountersMask","int unsigned","int","YES",""
"characters","character_instance_lock","entranceWorldSafeLocId","int unsigned","int","YES",""
"characters","character_instance_lock","expiryTime","bigint unsigned","bigint","YES",""
"characters","character_instance_lock","extended","tinyint unsigned","tinyint","YES",""
"characters","character_inventory","guid","bigint unsigned","bigint","NO","MUL"
"characters","character_inventory","bag","bigint unsigned","bigint","NO",""
"characters","character_inventory","slot","tinyint unsigned","tinyint","NO",""
"characters","character_inventory","item","bigint unsigned","bigint","NO","PRI"
"characters","character_pet","id","int unsigned","int","NO","PRI"
"characters","character_pet","entry","int unsigned","int","NO",""
"characters","character_pet","owner","bigint unsigned","bigint","NO","MUL"
"characters","character_pet","modelid","int unsigned","int","YES",""
"characters","character_pet","CreatedBySpell","int unsigned","int","NO",""
"characters","character_pet","PetType","tinyint unsigned","tinyint","NO",""
"characters","character_pet","level","smallint unsigned","smallint","NO",""
"characters","character_pet","exp","int unsigned","int","NO",""
"characters","character_pet","Reactstate","tinyint unsigned","tinyint","NO",""
"characters","character_pet","name","varchar(21)","varchar","NO",""
"characters","character_pet","renamed","tinyint unsigned","tinyint","NO",""
"characters","character_pet","slot","smallint","smallint","NO","MUL"
"characters","character_pet","curhealth","int unsigned","int","NO",""
"characters","character_pet","curmana","int unsigned","int","NO",""
"characters","character_pet","curhappiness","int unsigned","int","NO",""
